Make,Models
HUMMER,['H3' 'H1' 'H2' 'H3T']
Honda,"['HR-V' 'Accord' 'Passport' 'Insight' 'CR-V' 'Civic' 'Prelude' 'Crosstour'
 'Ridgeline' 'Pilot' 'CR-Z' 'Accord Crosstour' 'Accord Hybrid' 'del Sol'
 'Odyssey' 'Fit' 'Clarity Fuel Cell' 'Clarity Electric' 'Element' 'S2000'
 'CR-V Hybrid' 'Clarity Plug-in Hybrid' 'Civic Type R']"
Hyundai,"['Santa Fe Sport' 'Elantra' 'Sonata' 'Tiburon' 'Azera' 'Accent' 'Tucson'
 'Santa Fe' 'Veloster' 'Genesis' 'Veracruz' 'Elantra GT' 'NEXO' 'Excel'
 'Kona' 'Scoupe' 'Entourage' 'Sonata Plug-in Hybrid' 'Genesis Coupe'
 'Ioniq Plug-in Hybrid' 'Santa Fe XL' 'Sonata Hybrid' 'Equus' 'XG350'
 'Ioniq Electric' 'Tucson Fuel Cell' 'Palisade' 'Kona Electric' 'XG300'
 'Ioniq Hybrid' 'Venue']"
INFINITI,"['QX' 'QX70' 'QX60' 'G' 'Q' 'QX80' 'EX' 'J' 'I' 'FX' 'Q70' 'QX50' 'Q50'
 'M' 'Q60' 'QX30' 'Q40' 'JX']"
Isuzu,"['Ascender' 'Trooper' 'VehiCROSS' 'Rodeo Sport' 'Oasis'
 'Hombre Regular Cab' 'Axiom' 'Stylus' 'Rodeo' 'i-280 Extended Cab'
 'Amigo' 'Spacecab' 'Hombre Spacecab' 'Impulse' 'i-370 Crew Cab'
 'i-350 Crew Cab' 'i-370 Extended Cab' 'Regular Cab' 'i-290 Extended Cab']"
Jaguar,['F-PACE' 'XJ' 'XK' 'XF' 'X-Type' 'S-Type' 'E-PACE' 'F-TYPE' 'I-PACE' 'XE']
Jeep,"['Wrangler' 'Grand Cherokee' 'Patriot' 'Liberty' 'Renegade'
 'Grand Cherokee L' 'Compass' 'Wrangler Unlimited' 'Grand Wagoneer'
 'Cherokee' 'Commander' 'Gladiator' 'Comanche Regular Cab']"
Kia,"['Rondo' 'Soul EV' 'Rio' 'Sedona' 'Amanti' 'Spectra' 'Forte' 'Stinger'
 'Optima' 'Telluride' 'Niro EV' 'Forte5' 'Soul' 'Sorento' 'Niro' 'Cadenza'
 'Optima Hybrid' 'Sportage' 'K900' 'Optima Plug-in Hybrid' 'K5' 'Sephia'
 'Borrego' 'Optima (2006.5)' 'Forte Koup' 'Niro Plug-in Hybrid' 'Seltos']"
Lamborghini,['Gallardo' 'Huracan' 'Aventador' 'Murcielago' 'Murcielago LP640']
Land Rover,"['LR4' 'LR3' 'Discovery' 'Range Rover Sport' 'Range Rover Velar'
 'Range Rover' 'LR2' 'Range Rover Evoque' 'Discovery Sport' 'Defender 90'
 'Discovery Series II' 'Freelander' 'Defender 110']"
Lexus,"['ES' 'SC' 'LX' 'LS' 'CT' 'GS' 'GX' 'LC' 'IS F' 'IS' 'RX' 'HS' 'UX' 'RC'
 'NX' 'LFA']"
Lincoln,"['Navigator' 'Mark VIII' 'MKZ' 'Zephyr' 'LS' 'MKX' 'Navigator L' 'MKC'
 'Continental' 'MKT' 'Nautilus' 'Town Car' 'Aviator' 'MKS' 'Mark LT'
 'Corsair' 'Blackwood' 'Mark VII']"
Lotus,['Exige' 'Elise' 'Evora' 'Evora 400' 'Exige S']
MAZDA,"['MAZDA3' 'B-Series Regular Cab' 'Millenia' 'Protege' 'CX-3' 'CX-9'
 'Tribute' 'Navajo' 'MX-3' '323' 'B-Series Cab Plus' 'MPV' '626' 'MAZDA6'
 'CX-5' 'MX-6' 'MX-5 Miata' 'MAZDA5' 'RX-8' 'CX-7' 'B-Series Extended Cab'
 'MX-5 Miata RF' 'CX-30' 'MAZDA2' 'RX-7' 'Protege5' '929']"
MINI,"['Roadster' 'Convertible' 'Countryman' 'Hardtop' 'Clubman'
 'Hardtop 2 Door' 'Hardtop 4 Door' 'Paceman' 'Cooper' 'Coupe']"
Maserati,['Coupe' 'Ghibli' 'Quattroporte' 'GranTurismo' 'Levante' 'GranSport']
Maybach,['62' '57']
McLaren,['MP4-12C' '570S' '675LT' '650S' '720S' '570GT']
Mercedes-Benz,"['Metris WORKER Cargo' 'CLK-Class' 'Sprinter 3500 XD Cargo'
 'Metris WORKER Passenger' 'G-Class' 'GLK-Class' '300 E' 'SLS-Class' 'GLA'
 'E-Class' 'CLA-Class' 'CLA' '400 E' 'S-Class' 'R-Class' 'CLS' 'GLC'
 'M-Class' 'Mercedes-AMG SL' 'Sprinter 2500 Cargo' 'C-Class'
 'Metris Passenger' 'Sprinter 2500 Crew' 'SLK-Class' 'GL-Class' '300 CE'
 'Mercedes-AMG GLE' 'Mercedes-AMG SLC' 'Mercedes-AMG E-Class'
 'Mercedes-AMG GLA' 'CLS-Class' '300 SL' '600 SL' 'Sprinter 3500 Cargo'
 'SL-Class' 'Sprinter 2500 Passenger' 'Mercedes-AMG CLA' 'SLR McLaren'
 '600 SEC' 'Mercedes-AMG G-Class' 'CL-Class' 'Mercedes-AMG S-Class'
 'Mercedes-AMG GLC' 'GLE' '600 SEL' '400 SEL' 'GLC Coupe' '500 SEL'
 'Mercedes-Maybach S-Class' 'SL' '300 D' 'Mercedes-AMG GLE Coupe' '300 SE'
 'Mercedes-AMG GLC Coupe' '300 TE' 'Mercedes-Maybach S 600' '190 E'
 'Sprinter WORKER Cargo' 'B-Class' 'GLS' '500 SEC' 'SLK' 'GLE Coupe'
 'Mercedes-AMG GT' 'SLC' 'Mercedes-AMG GLS' 'GLB' 'GLA-Class' 'A-Class'
 '300 SD' 'Sprinter WORKER Passenger' 'Mercedes-AMG C-Class' '500 SL'
 '400 SE' '500 E' 'Mercedes-AMG CLS' 'Metris Cargo' 'Mercedes-AMG SLK']"
Mercury,"['Sable' 'Grand Marquis' 'Topaz' 'Villager' 'Milan' 'Montego' 'Mariner'
 'Tracer' 'Mountaineer' 'Mystique' 'Cougar' 'Capri' 'Marauder' 'Monterey']"
Mitsubishi,"['Raider Double Cab' 'Galant' 'Outlander Sport' 'Raider Extended Cab'
 'Outlander PHEV' 'Precis' 'Montero Sport' 'Diamante' 'Outlander' 'Mirage'
 'Eclipse' 'Mirage G4' 'i-MiEV' 'Montero' 'Lancer' 'Mighty Max Macro Cab'
 'Endeavor' 'Mighty Max Regular Cab' 'Lancer Evolution' 'Eclipse Cross'
 '3000GT' 'Expo']"
Nissan,"['LEAF' 'NV3500 HD Cargo' 'NV1500 Cargo' 'Maxima' 'Frontier King Cab'
 'Titan King Cab' 'NV2500 HD Cargo' '200SX' 'Regular Cab' 'Quest'
 'TITAN XD King Cab' 'Pathfinder' 'Titan Crew Cab' 'Sentra' 'Armada'
 'King Cab' 'Xterra' 'NV200 Taxi' '370Z' 'NV3500 HD Passenger' 'Versa'
 'NV200' 'Frontier Crew Cab' '300ZX' 'Murano' 'GT-R' 'Altima' '240SX'
 'TITAN XD Crew Cab' 'JUKE' 'Stanza' '350Z' 'Rogue Select' 'Rogue'
 'Versa Note' 'Frontier Regular Cab' 'cube' 'TITAN Single Cab' 'NX'
 'Rogue Sport' 'Pathfinder Armada' 'Kicks' 'TITAN XD Single Cab']"
Oldsmobile,"['Achieva' 'Silhouette' '98' 'Bravada' 'Alero' 'Cutlass Supreme' 'LSS'
 'Aurora' 'Cutlass Ciera' '88' 'Cutlass Cruiser' 'Ciera' 'Intrigue'
 'Cutlass' 'Toronado' 'Regency' 'Custom Cruiser']"
Panoz,['Esperante']
Plymouth,"['Prowler' 'Acclaim' 'Grand Voyager' 'Neon' 'Sundance' 'Voyager' 'Laser'
 'Breeze' 'Colt' 'Colt Vista']"
Polestar,['2']
